https://assets.webkinz.com/swf/item/,/icon.png,FILE NAME (OVERRIDE IF NECESSARY),ASSET LINK,,,,,,,,
,1005,Egyptiantelevision.png,https://assets.webkinz.com/swf/item/1005/icon.png,https://assets.webkinz.com/swf/item/1005/sw.png,https://assets.webkinz.com/swf/item/1005/se.png,https://assets.webkinz.com/swf/item/1005/ne.png,https://assets.webkinz.com/swf/item/1005/nw.png,Egyptiantelevisionsw.png,Egyptiantelevisionse.png,Egyptiantelevisionne.png,Egyptiantelevisionnw.png
,1007,Goldenhippofridge.png,https://assets.webkinz.com/swf/item/1007/icon.png,https://assets.webkinz.com/swf/item/1007/sw.png,https://assets.webkinz.com/swf/item/1007/se.png,https://assets.webkinz.com/swf/item/1007/ne.png,https://assets.webkinz.com/swf/item/1007/nw.png,Goldenhippofridgesw.png,Goldenhippofridgese.png,Goldenhippofridgene.png,Goldenhippofridgenw.png
,1008,Sacredscribedesk.png,https://assets.webkinz.com/swf/item/1008/icon.png,https://assets.webkinz.com/swf/item/1008/sw.png,https://assets.webkinz.com/swf/item/1008/se.png,https://assets.webkinz.com/swf/item/1008/ne.png,https://assets.webkinz.com/swf/item/1008/nw.png,Sacredscribedesksw.png,Sacredscribedeskse.png,Sacredscribedeskne.png,Sacredscribedesknw.png
,1010,Rockstarwardrobe.png,https://assets.webkinz.com/swf/item/1010/icon.png,https://assets.webkinz.com/swf/item/1010/sw.png,https://assets.webkinz.com/swf/item/1010/se.png,https://assets.webkinz.com/swf/item/1010/ne.png,https://assets.webkinz.com/swf/item/1010/nw.png,Rockstarwardrobesw.png,Rockstarwardrobese.png,Rockstarwardrobene.png,Rockstarwardrobenw.png
,1011,Mixingboarddesk.png,https://assets.webkinz.com/swf/item/1011/icon.png,https://assets.webkinz.com/swf/item/1011/sw.png,https://assets.webkinz.com/swf/item/1011/se.png,https://assets.webkinz.com/swf/item/1011/ne.png,https://assets.webkinz.com/swf/item/1011/nw.png,Mixingboarddesksw.png,Mixingboarddeskse.png,Mixingboarddeskne.png,Mixingboarddesknw.png
,1012,Boomboxvanity.png,https://assets.webkinz.com/swf/item/1012/icon.png,https://assets.webkinz.com/swf/item/1012/sw.png,https://assets.webkinz.com/swf/item/1012/se.png,https://assets.webkinz.com/swf/item/1012/ne.png,https://assets.webkinz.com/swf/item/1012/nw.png,Boomboxvanitysw.png,Boomboxvanityse.png,Boomboxvanityne.png,Boomboxvanitynw.png
,1013,Guitarcasetoybox.png,https://assets.webkinz.com/swf/item/1013/icon.png,https://assets.webkinz.com/swf/item/1013/sw.png,https://assets.webkinz.com/swf/item/1013/se.png,https://assets.webkinz.com/swf/item/1013/ne.png,https://assets.webkinz.com/swf/item/1013/nw.png,Guitarcasetoyboxsw.png,Guitarcasetoyboxse.png,Guitarcasetoyboxne.png,Guitarcasetoyboxnw.png
,1014,Rockdiningtable.png,https://assets.webkinz.com/swf/item/1014/icon.png,https://assets.webkinz.com/swf/item/1014/sw.png,https://assets.webkinz.com/swf/item/1014/se.png,https://assets.webkinz.com/swf/item/1014/ne.png,https://assets.webkinz.com/swf/item/1014/nw.png,Rockdiningtablesw.png,Rockdiningtablese.png,Rockdiningtablene.png,Rockdiningtablenw.png
,1015,Rockstagetv.png,https://assets.webkinz.com/swf/item/1015/icon.png,https://assets.webkinz.com/swf/item/1015/sw.png,https://assets.webkinz.com/swf/item/1015/se.png,https://assets.webkinz.com/swf/item/1015/ne.png,https://assets.webkinz.com/swf/item/1015/nw.png,Rockstagetvsw.png,Rockstagetvse.png,Rockstagetvne.png,Rockstagetvnw.png
,1016,Rockgarden.png,https://assets.webkinz.com/swf/item/1016/icon.png,https://assets.webkinz.com/swf/item/1016/sw.png,https://assets.webkinz.com/swf/item/1016/se.png,https://assets.webkinz.com/swf/item/1016/ne.png,https://assets.webkinz.com/swf/item/1016/nw.png,Rockgardensw.png,Rockgardense.png,Rockgardenne.png,Rockgardennw.png
